Identifier	Character	Dialogue	Filename	Line Number	Filename	Identifier
start_0632aa0c		"Tonight, there is a different sentiment as I look at the mailbox. Tonight I feel melancholic. But alas, all good things must come to an end eventually. Goodbye, old friend. "	game/script.rpy	138		start_0632aa0c
prologue_de9d1013	ta	"Please have your tickets ready for boarding. This train leaves to Riversone, making local stops along the way."	game/script.rpy	153	TrainLine1	prologue_de9d1013
prologue_632c22d9		"I'm already seated on the train. If living in New York City has taught me anything, it's that behind a crowded train is usually an empty one. Score one for me!"	game/script.rpy	156		prologue_632c22d9
prologue_7a3ee159		"I place my bulky duffel bag on the seat next to me. It's a little tactic I like to call ""uncomfortable silence."" Most people will see my bag and glare at it silently, but they won't tell me to move it. "	game/script.rpy	159		prologue_7a3ee159
prologue_631a7499		"You can't get away with it for the whole ride, but for a few stops it's totally possible. So until some old woman demands I move my stuff, I'm sitting here pretty comfortably. "	game/script.rpy	163		prologue_631a7499
prologue_c00614d6		"Archer Lane's new hit single blasts through the online radio app on my phone. It's catchy, sure, but the high tempo makes me want to chuck my phone at the wall of the train car."	game/script.rpy	167		prologue_c00614d6
prologue_c0a891bf		"Not really feeling the whole, ""Dance with Me"" thing Archer's got going on. Nope, no thanks. Not today, buddy. "	game/script.rpy	171		prologue_c0a891bf
prologue_4f820444		I quickly turn off the app and find my saved music folder. 	game/script.rpy	175		prologue_4f820444
prologue_52692d63		Thomas De Luca is my go to artist. I can feel his raspy voice in the pit of my stomach with each word he sings and it's amazing. 	game/script.rpy	180		prologue_52692d63
prologue_11e0cb8e		He doesn't hide behind autotune like Archer Lane does. Thomas De Luca doesn't need to. I shut my eyes and let his vocals take me to a different place. 	game/script.rpy	183		prologue_11e0cb8e
prologue_80a86c13		"Right now, I'm not on a train to my sister in law's inn to work for the winter. I'm on stage and Thomas De Luca is singing to me. He's holding my hand and letting me know that everything will be okay. "	game/script.rpy	188		prologue_80a86c13
prologue_ae5c4fda		"Even if I know that nothing is okay. Well for one, I can't even stand to look my mother in the eye as she pours an extra cup of hot cocoa in the morning, or sets the table for three people instead of two. How sad is that? I am running away from my own mother!"	game/script.rpy	192		prologue_ae5c4fda
prologue_6b06183d		"On top of that, I have no money. I'm a 22 year old college graduate with a degree in film and a surmounting pile of debt. I had to take out several loans to even afford. All I have to show for my education is one movie and it isn't even that good. I still have no permanent job offers. "	game/script.rpy	195		prologue_6b06183d
prologue_5f80c156		"Thomas De Luca's voice can't magically toss money in my lap or bring the smile back to my mother's face. But, he does help me tune out the world for a few minutes so I can pretend like my problems don't exist. "	game/script.rpy	198		prologue_5f80c156
prologue_496dd894		"When I open my eyes it's because I can feel that the train has stopped moving. I leave my bag next to me, but I drape an arm over it protectively. "	game/script.rpy	204		prologue_496dd894
prologue_075fff8d		A person boards the train and walks casually to the other end of the car. My bag's seat is still secured. 	game/script.rpy	207		prologue_075fff8d
prologue_fc68ae66		I notice that the scenery around me has changed as the train pulls away farther and farther from the big city. There are so many trees and the sunlight isn't hidden by tall buildings.	game/script.rpy	211		prologue_fc68ae66
prologue_51955d86		Riversone might not be so bad after all. Especially if it looks as peaceful as the scene through the train window.	game/script.rpy	214		prologue_51955d86
prologue_2aba1cd7		Riversone is the perfect middle point for travelers heading up north to the textile driven cities or south to the more rural areas. Or so the internet has told me.	game/script.rpy	217		prologue_2aba1cd7
prologue_beef7e4d		"I'm sure I'll meet a lot of interesting people there. Or hey, maybe none at all, which I'm totally cool with too. "	game/script.rpy	220		prologue_beef7e4d
prologue_d3913cc6		"I switch the music off for a second when I notice we're approaching a new station. This one looks much more packed. I give a forlorn look to my bag, which I know I'll have to move onto my lap. It's fine, just a mild inconvenience."	game/script.rpy	225		prologue_d3913cc6
prologue_603da632	ta	We are now approaching Wistfield station.	game/script.rpy	228	TrainLine2	prologue_603da632
prologue_317b23f7		The train slows down once again and pulls into a station like the ones before it. I wonder how far we are from Riversone. 	game/script.rpy	233		prologue_317b23f7
prologue_aa04199b		"Despite having an aisle seat, I can't see much of what's in front of me as people pile into the now crowded train. "	game/script.rpy	236		prologue_aa04199b
prologue_f498ba21		"I lean back into my seat and remove my hand from my bag. Play it cool, Lilah. "	game/script.rpy	240		prologue_f498ba21
prologue_5c3d8edb		My solace has already been lost as I notice the sunlight from the window is being blocked by the people standing in front of my seated figure. I never really realized how much darkness can damper one's mood.	game/script.rpy	243		prologue_5c3d8edb
prologue_aa861d55		"I look up to see a man towering above me. He looks annoyed and motions to the seat next to me with his head. Without a single word, I slide the duffel bag into my lap. I'm not trying to cause any trouble."	game/script.rpy	247		prologue_aa861d55
prologue_0b5db80a		"I expect the man to sit down, but he doesn't. Instead, he steps back and holds his arm out for an older woman with a cane to slide into the seat next to me."	game/script.rpy	250		prologue_0b5db80a
prologue_02126b75	ow	Kids these days...you ought to be more respectful!	game/script.rpy	253	Old1	prologue_02126b75
prologue_dddc8a73		"She glares at me, but it's nothing that hasn't happened to me on a train before. Kindly I begin to explain that I hadn't seen her, otherwise I would have moved my stuff. "	game/script.rpy	257		prologue_dddc8a73
prologue_a3f8987c		"While I like the seat next to me being empty, I'm not heartless. I'd even stand up for someone if they looked like they needed a seat. "	game/script.rpy	261		prologue_a3f8987c
prologue_5060d9a8		"This isn't a commuter train in the city. The social cues are much different. I only begin to realize that when I lock eyes with the man from earlier. It isn't quite a glare that sits upon his face, but he's definitely judging me. "	game/script.rpy	265		prologue_5060d9a8
prologue_183d9cf8	li	"Ma'am, I swear I didn't see you."	game/script.rpy	268	L1	prologue_183d9cf8
prologue_5a97bc66	ow	"The train is crowded, that big bag should go in the overhead above!"	game/script.rpy	270	Old2	prologue_5a97bc66
prologue_416aaaf3	li	"When I got onto the train, it was empty. I was just..."	game/script.rpy	273	L2	prologue_416aaaf3
prologue_4ae2a65d		"But she continuously cuts me off to tell me I need to learn some respect. Well, sometimes you lose the ""uncomfortable silence"" game..."	game/script.rpy	276		prologue_4ae2a65d
prologue_9da54ef3		"I stand up and offer the seat to the man, since this woman looks like she'd much rather sit next to the ""well mannered gentleman"" who helped her get a seat. "	game/script.rpy	279		prologue_9da54ef3
prologue_0b1b5b5c		"He opens his mouth to protest, but I've already got the hulking duffel bag over my shoulder. I push passed the crowd of people, muttering ""sorry"" before settling into a spot by the door and away from the old woman."	game/script.rpy	282		prologue_0b1b5b5c
prologue_f0bf1c94		"Still, for some reason I feel the need to keep stealing glances at the guy. I've always been infatuated with the idea of people moving around in everyday settings. It's like a photographer friend of mine always said, ""people living their lives is the most fascinating thing"". "	game/script.rpy	287		prologue_f0bf1c94
prologue_50fcde10		"The best way to come up with a character is to just look at the people around you. Trains are the best place to do that, especially in New York. "	game/script.rpy	290		prologue_50fcde10
prologue_7d4668ed		I try to figure out who the person might be by what they're wearing or how their posture is. It's a little quirk of mine that helped me through tons of screenwriting classes in college. 	game/script.rpy	293		prologue_7d4668ed
prologue_d95ac686		"This particular man is strange. As he nestles himself into his corner seat, I take a long look at him. The man looks out of place, and it's no doubt because of the scarf that is pulled all the way up passed his nose. "	game/script.rpy	297		prologue_d95ac686
prologue_1509dce1		"He definitely gives off the vibe that he's trying to hide himself. Whether it be him trying to mask his identity or a deeper self esteem issue, I don't know. I'm not a psychologist, just a people watcher."	game/script.rpy	300		prologue_1509dce1
prologue_42d58eb0		The man's blond locks peek out from his oversized wool hat. His eyes are closed and the woman next to him is staring at him in awe. How the heck does she gravitate towards the shadiest looking guy in the train car?	game/script.rpy	303		prologue_42d58eb0
prologue_44fd7db7		Ughh...how many more stops until I reach my destination?	game/script.rpy	306		prologue_44fd7db7
prologue_7d6b5fde		"I turn on my radio app once again and it brings me back to where I left off in Archer Lane's song. I just leave it on, hoping the beat is enough to cheer me up again. "	game/script.rpy	309		prologue_7d6b5fde
prologue_892d028c	ta	We are now arriving in Riversone. Please exit the train as this is our last stop.	game/script.rpy	316	TrainLine3	prologue_892d028c
prologue_1888b50c		I step out of the train as soon as it stops and the door opens. I have no interest in being trampled on by the twenty or so people trying to exit as well.	game/script.rpy	319		prologue_1888b50c
prologue_9ddde0a9		"The cold air greets me. Now, I have to call my sister in law. She said that she would be at the station waiting for me, but it's hard to pinpoint anything here. Despite the train letting out a big crowd, there aren't many people mulling around the massive station. "	game/script.rpy	325		prologue_9ddde0a9
prologue_5c3082c2	que	Can you move?	game/script.rpy	329	A01	prologue_5c3082c2
prologue_9425a9c0		Huh? I whip around to see the man from earlier. I step aside and he quickly brushes passed me with not even a second glance in my direction. Rude! 	game/script.rpy	333		prologue_9425a9c0
prologue_834e7048	an	"Lilah! Hey, you're here! How was the train ride?"	game/script.rpy	336	Anjali1	prologue_834e7048
prologue_43437201		"Startled, I jump slightly. She probably saw all of that, but she's too polite to bring it up. Classic Anjali. "	game/script.rpy	340		prologue_43437201
prologue_7d105771		"I regain my composure and smile brightly at her. She looks as gorgeous as ever. To someone who doesn't know her, I'm sure her brilliant smile masks the bags under her eyes. She's worn down and tired, but she's too proud to admit it."	game/script.rpy	345		prologue_7d105771
prologue_a909279e	an	Well? You never answered my question. How was your train ride?	game/script.rpy	348	Anjali2	prologue_a909279e
prologue_e8ff4b53	li	"It was nice. The scenery especially was beautiful. So all in all, I'd say it was a relaxing ride."	game/script.rpy	354		prologue_e8ff4b53
prologue_0b191291		I'm careful not to mention the old lady who sat next to me or the weird guy who caused the whole commotion earlier. I don't want to worry Anjali with something so trivial. Especially not during this time of the year.	game/script.rpy	357		prologue_0b191291
prologue_17c4de98	an	That's great. You're just going to love it in Riversone. I'm so happy to have you here.	game/script.rpy	359	Anjali3	prologue_17c4de98
prologue_02541587	li	I hope so.	game/script.rpy	361		prologue_02541587
prologue_d36e9ffc	li	"It sucked. There was this old lady and a guy with a big scarf who tag teamed me! The guy basically made me move my bag for this old lady, which is totally fine. But she was yelling at me for not doing it myself."	game/script.rpy	367		prologue_d36e9ffc
prologue_b86fa900	an	And why didn't you do it yourself?	game/script.rpy	370		prologue_b86fa900
prologue_cdf326bf	li	Honestly? I didn't see the lady!	game/script.rpy	372		prologue_cdf326bf
prologue_90c3f234	an	"It's not because of the bag trick your brother taught you, huh?"	game/script.rpy	374		prologue_90c3f234
prologue_cad05aeb	li	"I know when to use the bag trick, Anjali! Only when there's not a ton of people and I planned to move it whenever someone asked me to. Until then, how am I supposed to know someone wants to sit there?"	game/script.rpy	376		prologue_cad05aeb
prologue_9ca2d147	an	Lilah...	game/script.rpy	378	Anjali4	prologue_9ca2d147
prologue_edf5bdde	li	"I swear, I was going to move it! You're looking at me like that guy was. He didn't believe me either."	game/script.rpy	380		prologue_edf5bdde
prologue_8684807b	an	"I believe you, Lilah. I'm only teasing. There are unspoken rules on the trains in NYC, but not here in Riversone. Everything is much more laid back. Don't be as hasty."	game/script.rpy	383		prologue_8684807b
prologue_631e8b0f		"You know what they say. You can take the girl out of New York City, but you can't take New York City out of the girl. "	game/script.rpy	387		prologue_631e8b0f
prologue_feb42b6c	li	"It's not that easy, but I'll try not to be an obnoxious city girl."	game/script.rpy	389	L3	prologue_feb42b6c
prologue_common_b02bc604	an	"Try to see the bright side for once, will you?"	game/script.rpy	398		prologue_common_b02bc604
prologue_common_a0550c1b	li	Yes ma'am!	game/script.rpy	401		prologue_common_a0550c1b
prologue_common_5d635ef3		Anjali isn't happy with my feigned obedience.	game/script.rpy	406		prologue_common_5d635ef3
prologue_common_6be9bad1	an	"You know, I actually missed your sass. Believe it or not."	game/script.rpy	409		prologue_common_6be9bad1
prologue_common_ae8bfc6f		I frown. It must really be lonely out here for her. I don't know why she chooses to run this hotel in the middle of nowhere by herself. There isn't anything exciting about the area that I know of. 	game/script.rpy	414		prologue_common_ae8bfc6f
prologue_common_222ca5a7	an	That was supposed to be a compliment.	game/script.rpy	418		prologue_common_222ca5a7
prologue_common_77abe078	li	It's not you. I'm just thinking of something.	game/script.rpy	421		prologue_common_77abe078
prologue_common_ca061350	an	I'm okay. Really.	game/script.rpy	424	Anjali5	prologue_common_ca061350
prologue_common_3a73387f		"She sees right through me, not surprisingly. Anjali is really good at reading people. She reaches out to me and puts a comforting hand on my back. "	game/script.rpy	427		prologue_common_3a73387f
prologue_common_da6ed2df	an	Business is doing better and my sister is thinking about moving out here. So don't pity an old soul.	game/script.rpy	429		prologue_common_da6ed2df
prologue_common_2b856072	li	Old? Hardly! You're 32!	game/script.rpy	433	L4	prologue_common_2b856072
prologue_common_ec6dd4d9	an	In mountain time that's almost 50.	game/script.rpy	436		prologue_common_ec6dd4d9
prologue_common_89305812		I scoff.	game/script.rpy	439		prologue_common_89305812
prologue_common_94548ea9	li	Your math is off and I don't even think it works like that.	game/script.rpy	441		prologue_common_94548ea9
prologue_common_07b04c43	an	"Hey now, don't argue with me."	game/script.rpy	443	Anjali6	prologue_common_07b04c43
prologue_common_836966ef		Anjali insists on taking my suitcase from me. She tells me that her car is nearby and begins to talk happily about what my living arrangements will be for the next few months. 	game/script.rpy	448		prologue_common_836966ef
prologue_common_6cfe6ae8		"It's hard to concentrate on her words when I see the man who caused so much trouble for me on the train earlier. He looks disgruntled, impatiently typing on his phone. Anjali follows my gaze. "	game/script.rpy	451		prologue_common_6cfe6ae8
prologue_common_84e60816	an	What are you looking at?	game/script.rpy	454		prologue_common_84e60816
prologue_common_acd67117		Lilah	game/script.rpy	457		prologue_common_acd67117
prologue_common_ec79b08c		Uhm... everything. Riversone is so different from the big city.	game/script.rpy	458		prologue_common_ec79b08c
prologue_common_8f517901	an	"We have a lot of character here, that's for sure."	game/script.rpy	461		prologue_common_8f517901
prologue_common_4e295e6e		"I get a better look at the man's outfit as we pass him by. He's wearing a red plaid shirt under a large jacket. His eyes are hidden under his blonde hair. Yep, he looks just as out of place as I feel. But the few people roaming around pay him no mind. I guess it doesn't really matter. "	game/script.rpy	465		prologue_common_4e295e6e
prologue_common_0d798f50	li	What were you saying before?	game/script.rpy	468		prologue_common_0d798f50
prologue_common_f6a18238		"I change the conversation back to Anjali. As she leads me to her car, Anjali begins to talk about how many people have worked at the hotel during the winter. Not including me this year, two others have worked there prior. Not really a big employment pool. "	game/script.rpy	472		prologue_common_f6a18238
prologue_common_f1d4ce4c		"Anjali's car is nothing extravagant, but considering I took a train to get here I'm in no position to judge. Anjali speeds down the empty road with zero reservations. "	game/script.rpy	481		prologue_common_f1d4ce4c
prologue_common_43ba2fe6		"She isn't irresponsible, rather, a woman who knows her small town well. I admire her comfort in her own world, something I can't ever seem to achieve."	game/script.rpy	485		prologue_common_43ba2fe6
prologue_common_545863dc		"I look out into the town, seeing Christmas trees in front of almost every single building we pass. It is picturesque. Riversone resembles a postcard, and it makes me wonder if anything has changed at all. I wouldn't be surprised if the Christmas aesthetic was part of Riversone's all year round traditions. "	game/script.rpy	488		prologue_common_545863dc
prologue_common_3a6330e6		"Anjali switches on the radio with her right hand as her left steers through the bumpy road. I admire her control. Not only of the car, but of herself and probably her hotel too. "	game/script.rpy	491		prologue_common_3a6330e6
prologue_common_a814e67d		"Dance With Me plays through the speakers and I shut my eyes. It's one of Archer Lane's better songs but it's still missing something. Rather, it has too much going on. I wonder what the song would sound like without so much production. "	game/script.rpy	496		prologue_common_a814e67d
prologue_common_8997473b	an	This is that guy right? Arrow something?	game/script.rpy	499	Anjali7	prologue_common_8997473b
prologue_common_202a2694		I let out a laugh. 	game/script.rpy	504		prologue_common_202a2694
prologue_common_218662ff	li	"Archer Lane, Anjali. But close."	game/script.rpy	507	L5	prologue_common_218662ff
prologue_common_c1f38fd9		Anjali laughs. 	game/script.rpy	511		prologue_common_c1f38fd9
prologue_common_f0409993	an	"I told you, I'm an old lady. I've seen things that would prove it."	game/script.rpy	514		prologue_common_f0409993
prologue_common_ff9cf297		"I don't doubt that she has. She must have, but that's another reason I admire her. "	game/script.rpy	518		prologue_common_ff9cf297
prologue_common_88ca5917		"Anjali and I drive like this for ten more minutes, chatting and laughing. It really is good to see her again in person and not just behind a video chat."	game/script.rpy	522		prologue_common_88ca5917
prologue_common_8a3d7dc7		"The last time wasn't the happiest of memories, and my heart still aches thinking about her tearful eyes at my older brother's funeral. For the first time ever, I had seen the composed woman crack."	game/script.rpy	526		prologue_common_8a3d7dc7
prologue_common_5227f251		"Anjali pulls into the parking lot of The Red Turtleneck Inn. I haven't ever seen it in person, but the pictures I've seen online don't do this place justice. The Inn is breathtakingly beautiful. This is the place my brother had always wanted to open with the woman of his dreams. ""The Red Turtleneck is finally a reality,"" he had once exclaimed happily, slamming the lease papers on the kitchen table of the old two bedroom walkup. "	game/script.rpy	531		prologue_common_5227f251
prologue_common_7a5afb6d		"Anjali tugs at the hem of her shirt. This is the first time I've seen her uncomfortable. Usually, she's a paragon of hope, always looking at the brighter side of things. I feel the need to break the silence that weighs heavily upon us."	game/script.rpy	538		prologue_common_7a5afb6d
prologue_common_cf964410	li	Craig never told me why you guys decided on the name Red Turtleneck all those years ago.	game/script.rpy	541		prologue_common_cf964410
prologue_common_5020d425		The naming of the Inn is always a thought that passes through my mind. Craig was always so tight lipped about his plans with this place once he acquired it.	game/script.rpy	544		prologue_common_5020d425
prologue_common_5c50d5dd		"Anjali gives me a smile, but it isn't as big as the ones we shared in the car. "	game/script.rpy	548		prologue_common_5c50d5dd
prologue_common_88bf7de0	an	"The red turtleneck was what I was wearing when Craig and I first met. He was sentimental, that one."	game/script.rpy	550	Anjali8	prologue_common_88bf7de0
prologue_common_bf860fb3		"I can feel my heart tearing apart. My brother truly loved Anjali. She was his heart, his soul, and his better half. I start to realize that the Inn might not be the best place to escape the painful memories of Craig's death. Anjali, despite her normally cool personality, is hurting too. "	game/script.rpy	555		prologue_common_bf860fb3
prologue_common_1bd718c3	an	"Anyway, why don't we unlock the place?"	game/script.rpy	559		prologue_common_1bd718c3
prologue_common_278e195d		"As she fishes in her purse for the keys, I take in the view. The Red Turtleneck Inn looks like a log cabin, with hand crafted furniture to match. It resembles a house in size, and I wonder how many rooms are in it. "	game/script.rpy	564		prologue_common_278e195d
prologue_common_588f14a0		"Behind the Inn there are two buildings. One of them must be Anjali's home. Or maybe it's a cabin she rents out to guests. Looking at the property in its entirety, I'd say this place is pretty charming. "	game/script.rpy	567		prologue_common_588f14a0
prologue_common_711b7c1c		"The mountainous backdrop is like a painting. The lush green mountains stretch up towards the clouds. Tall trees line the base of the mountains trying to reach the summits, but they fall a couple hundred feet short. "	game/script.rpy	571		prologue_common_711b7c1c
prologue_common_aeca7ebf		What's most glaring though are the Christmas decorations on the building. There are lights adorning the top of the roof and a plastic snowman by the Inn's sign. 	game/script.rpy	574		prologue_common_aeca7ebf
prologue_common_2c89a3ed		"Anjali has the Christmas spirit despite Craig's death. I hope that, unlike my mother, Anjali isn't living a lie. I hope that she's honoring Craig's memory by celebrating his favorite season, and not just going through the motions of monotony to pretend that everything is okay."	game/script.rpy	577		prologue_common_2c89a3ed
prologue_common_9ee75749		"Clearly, she isn't okay. Even if she's putting on a brave front, I can tell that her heart still lurches at the mention of my brother. I suppose this is what an attempt at moving on looks like. "	game/script.rpy	580		prologue_common_9ee75749
prologue_common_abfcf29c		"A hand flies up to my heart. I have so many conflicting emotions. Love for Anjali and her strength, anger at myself for not being able to move on myself, and of course sadness for all that is lost."	game/script.rpy	584		prologue_common_abfcf29c
prologue_common_d957f73b		"But dwelling is part of the problem. I promised my mother, myself, and Craig that I wouldn't live in the past. So, I won't dwell on it. I turn back to Anjali. She has to unlock the place. Which means..."	game/script.rpy	587		prologue_common_d957f73b
prologue_common_49458438	li	Unlock? It hasn't been open this whole time?	game/script.rpy	590		prologue_common_49458438
prologue_common_f793b831		Anjali shakes her head and her black locks fall against her face. 	game/script.rpy	595		prologue_common_f793b831
prologue_common_79ad8120	an	"Normally we would be, but someone booked the whole place."	game/script.rpy	598		prologue_common_79ad8120
prologue_common_9852422f	li	What? The entire thing? Who can afford that?	game/script.rpy	601	L6	prologue_common_9852422f
prologue_common_2b0d7e64	an	"I don't ask questions. My clients are entitled to their privacy. The person prepaid when they booked online and gave me the name Irving Prince. He'll be coming in a little later today, so we'll meet him then."	game/script.rpy	604		prologue_common_2b0d7e64
prologue_common_0b52ebe1	li	What about me? Where do I stay?	game/script.rpy	607		prologue_common_0b52ebe1
prologue_common_cf747e99	an	"We have two cabins in the back. You can stay in the one on the left. It's pretty nice. Plus, you'll only have one guest to deal with."	game/script.rpy	610		prologue_common_cf747e99
prologue_common_e89420db	li	I hope that means less work.	game/script.rpy	613		prologue_common_e89420db
prologue_common_20272cf0		Anjali just shrugs. She slides the key into the lock and leads us inside of the inn.	game/script.rpy	617		prologue_common_20272cf0
prologue_common_3ccf3bcd		"The interior of the place is just as beautiful and serene as the outside. While the outside boasts vintage light fixtures and Adirondack style lawn chairs, the inside has a much different feel. It reminds me of a bed and breakfast, with warm colored wallpaper and quaint furniture. "	game/script.rpy	625		prologue_common_3ccf3bcd
prologue_common_8d95e204		"There's a large Christmas tree by the front door, which I can't help but gravitate towards as Anjali settles into the Inn."	game/script.rpy	628		prologue_common_8d95e204
prologue_common_227d0b01		"The tree is decorated with colorful lights and plenty of ornaments, but one sticks out to me. I gasp involuntarily as a hand flies to my mouth. "	game/script.rpy	634		prologue_common_227d0b01
prologue_common_90328dd8		Anjali is in the midst of sliding off her coat when she hears me. 	game/script.rpy	637		prologue_common_90328dd8
prologue_common_502c9b91	an	What is it?	game/script.rpy	639	Anjali9	prologue_common_502c9b91
prologue_common_e10c2544	li	This ornament...	game/script.rpy	642	L7	prologue_common_e10c2544
prologue_common_14971937		"I point to the one I'm looking at. It is a group of penguins riding on a sled and each one has a name on it's scarf. Anjali, Craig, Lilah, Marsha. Our family's names, even mom's."	game/script.rpy	645		prologue_common_14971937
prologue_common_9401cd90	li	You put out the ornament I gave you all those years ago?	game/script.rpy	647		prologue_common_9401cd90
prologue_common_3451be21	an	"Of course. I've put it out every year since you've given it to me. It's the real star of the tree, topper aside."	game/script.rpy	649	Anjali10	prologue_common_3451be21
prologue_common_3d7909cb		Anjali hangs her coat up on a nearby coat rack and walks over to me. She places a comforting hand on my shoulder. 	game/script.rpy	652		prologue_common_3d7909cb
prologue_common_42fabc4e	an	Are you okay?	game/script.rpy	654		prologue_common_42fabc4e
prologue_common_be1fe84b	li	"Yeah. It's just that it's so different from home. Mom is going through the motions of putting out our ornaments, but the sparkle behind her eyes is gone. Your eyes still sparkle when you talk about the sentimental things."	game/script.rpy	656	L8	prologue_common_be1fe84b
prologue_common_25055012	an	Your mother has lost a child. That isn't something anyone but a parent could comprehend. You have to give her time.	game/script.rpy	658		prologue_common_25055012
prologue_common_c28e9861	li	Will time ever be enough?	game/script.rpy	660	L9	prologue_common_c28e9861
prologue_common_c9aa39c0	an	"Maybe. Maybe not. But your mom is strong. She can get through anything, I know it."	game/script.rpy	662		prologue_common_c9aa39c0
prologue_common_1573e8af		"Anjali places a kiss on the top of my head before sliding behind the front desk. She's right, but it's hard waiting for things to go back to normal. I miss the mother I knew five years ago. "	game/script.rpy	667		prologue_common_1573e8af
prologue_common_77d1a9ac	an	"Ms.Scott, reservation for 1?"	game/script.rpy	674		prologue_common_77d1a9ac
prologue_common_30425187		I roll my eyes. Anjali is trying to make me smile and I applaud her effort. I feign shock. 	game/script.rpy	677		prologue_common_30425187
prologue_common_cd2d4af0	li	I made no such thing.	game/script.rpy	679		prologue_common_cd2d4af0
prologue_common_d5d67ded		Anjali rolls her eyes in return but begins starting up the computer. 	game/script.rpy	683		prologue_common_d5d67ded
prologue_common_24e19a9b	an	Today I'm going to let you explore because you just got here. But tomorrow I want you up bright and early for work.	game/script.rpy	686		prologue_common_24e19a9b
prologue_common_7d8ebbce		Bright and early? Ugh. I'm not built for that.	game/script.rpy	690		prologue_common_7d8ebbce
prologue_common_817702db	an	"If you see our prolific guest, don't scare them away. I quite like the idea of having only one guest to deal with. Speaking of...that means you'll be the only one on shift."	game/script.rpy	693		prologue_common_817702db
prologue_common_41af3aa2	li	"That's alright. If I'm being honest with you, I think I want the quiet."	game/script.rpy	697		prologue_common_41af3aa2
prologue_common_389b3209		Anjali is typing furiously on the computer. She flashes me a smile before speaking. 	game/script.rpy	702		prologue_common_389b3209
prologue_common_383b1a78	an	Why not check out the place while we wait for Irving Prince? Put your stuff away and get comfortable.	game/script.rpy	704		prologue_common_383b1a78
prologue_common_2d772264		It's not a bad idea. I should drop my stuff off in my cabin and settle in. I take the keys that Anjali offers me.	game/script.rpy	707		prologue_common_2d772264
prologue_common_91b59417	an	The smaller cabin on the left is yours. Dial 648 on the phone to reach the front desk and 949 to reach my cabin. I'll be here doing a quick maintenance check before our guest arrives.	game/script.rpy	710		prologue_common_91b59417
prologue_common_4ba21410	li	What about wifi? I need to be connected to the internet.	game/script.rpy	713		prologue_common_4ba21410
prologue_common_831277f7	an	"The signal is weak back there, so you'll have to be in the lobby to connect. But, I doubt you'll be worrying so much when you realize what there is to do around here in the winter."	game/script.rpy	717		prologue_common_831277f7
